Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,438232879,1,,,,,,total
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,61.5,507430,1,507430.0,507430.0,507430,507430,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,38.5,317541,1,317541.0,317541.0,317541,317541,0.0,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_sum,61.5,507430,1,507430.0,507430.0,507430,507430,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,nvtx_sum,38.5,317541,1,317541.0,317541.0,317541,317541,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,84.6,108191,1,108191.0,108191.0,108191,108191,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,15.4,19744,1,19744.0,19744.0,19744,19744,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,2,wall,100.0,439200460,1,,,,,,total
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,59.1,464075,1,464075.0,464075.0,464075,464075,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,40.9,321641,1,321641.0,321641.0,321641,321641,0.0,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_sum,59.1,464075,1,464075.0,464075.0,464075,464075,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,nvtx_sum,40.9,321641,1,321641.0,321641.0,321641,321641,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,84.7,109440,1,109440.0,109440.0,109440,109440,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,15.3,19776,1,19776.0,19776.0,19776,19776,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,3,wall,100.0,528375337,1,,,,,,total
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,56.0,455205,1,455205.0,455205.0,455205,455205,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,44.0,357852,1,357852.0,357852.0,357852,357852,0.0,:fixpoint
