Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,436068638,1,,,,,,total
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,54.3,551275,1,551275.0,551275.0,551275,551275,0.0,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,45.7,464863,1,464863.0,464863.0,464863,464863,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,nvtx_sum,54.3,551275,1,551275.0,551275.0,551275,551275,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_sum,45.7,464863,1,464863.0,464863.0,464863,464863,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,94.4,53279,1,53279.0,53279.0,53279,53279,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,5.6,3136,1,3136.0,3136.0,3136,3136,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,2,wall,100.0,443669861,1,,,,,,total
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,51.4,552018,1,552018.0,552018.0,552018,552018,0.0,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,48.6,520964,1,520964.0,520964.0,520964,520964,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,nvtx_sum,51.4,552018,1,552018.0,552018.0,552018,552018,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_sum,48.6,520964,1,520964.0,520964.0,520964,520964,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,94.6,54559,1,54559.0,54559.0,54559,54559,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,5.4,3136,1,3136.0,3136.0,3136,3136,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,3,wall,100.0,520995736,1,,,,,,total
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,51.8,551246,1,551246.0,551246.0,551246,551246,0.0,:fixpoint
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,48.2,513114,1,513114.0,513114.0,513114,513114,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,3,nvtx_sum,51.8,551246,1,551246.0,551246.0,551246,551246,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,3,nvtx_sum,48.2,513114,1,513114.0,513114.0,513114,513114,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,3,cuda_gpu_kern_sum,94.5,50656,1,50656.0,50656.0,50656,50656,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,3,cuda_gpu_kern_sum,5.5,2944,1,2944.0,2944.0,2944,2944,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_25x25.in,5000,125000,1,wall,100.0,467579685,1,,,,,,total
sudoku_25x25.in,5000,125000,1,nvtx_pushpop_sum,71.1,1560987,1,1560987.0,1560987.0,1560987,1560987,0.0,:build_reverse_tables
sudoku_25x25.in,5000,125000,1,nvtx_pushpop_sum,28.9,634693,1,634693.0,634693.0,634693,634693,0.0,:fixpoint
sudoku_25x25.in,5000,125000,1,nvtx_sum,71.1,1560987,1,1560987.0,1560987.0,1560987,1560987,0.0,PushPop,:build_reverse_tables
sudoku_25x25.in,5000,125000,1,nvtx_sum,28.9,634693,1,634693.0,634693.0,634693,634693,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,1,cuda_gpu_kern_sum,91.9,63327,1,63327.0,63327.0,63327,63327,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_25x25.in,5000,125000,1,cuda_gpu_kern_sum,8.1,5600,1,5600.0,5600.0,5600,5600,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_25x25.in,5000,125000,2,wall,100.0,536377014,1,,,,,,total
