Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,443636242,1,,,,,,total
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,58.0,638898,1,638898.0,638898.0,638898,638898,0.0,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,42.0,462259,1,462259.0,462259.0,462259,462259,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,nvtx_sum,58.0,638898,1,638898.0,638898.0,638898,638898,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_sum,42.0,462259,1,462259.0,462259.0,462259,462259,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,48.2,22976,6,3829.3,3536.0,3072,4896,699.5,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,45.2,21568,5,4313.6,2880.0,2720,10304,3349.7,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,6.6,3136,1,3136.0,3136.0,3136,3136,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,2,wall,100.0,507764181,1,,,,,,total
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,54.6,630702,1,630702.0,630702.0,630702,630702,0.0,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,45.4,524777,1,524777.0,524777.0,524777,524777,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,nvtx_sum,54.6,630702,1,630702.0,630702.0,630702,630702,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_sum,45.4,524777,1,524777.0,524777.0,524777,524777,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,49.6,23456,6,3909.3,3600.0,3104,5024,747.6,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,43.6,20640,5,4128.0,2976.0,2752,9120,2792.9,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,6.8,3232,1,3232.0,3232.0,3232,3232,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,3,wall,100.0,518336149,1,,,,,,total
