Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,440910508,1,,,,,,total
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,52.7,532141,1,532141.0,532141.0,532141,532141,0.0,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,47.3,477117,1,477117.0,477117.0,477117,477117,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,nvtx_sum,52.7,532141,1,532141.0,532141.0,532141,532141,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_sum,47.3,477117,1,477117.0,477117.0,477117,477117,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,59.9,59647,6,9941.2,7344.0,6976,15647,4251.5,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,20.1,20031,5,4006.2,2944.0,2784,8512,2520.1,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,19.9,19840,1,19840.0,19840.0,19840,19840,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,2,wall,100.0,481426752,1,,,,,,total
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,53.1,544258,1,544258.0,544258.0,544258,544258,0.0,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,46.9,481291,1,481291.0,481291.0,481291,481291,0.0,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,nvtx_sum,53.1,544258,1,544258.0,544258.0,544258,544258,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_sum,46.9,481291,1,481291.0,481291.0,481291,481291,0.0,PushPop,:build_reverse_tables
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,60.0,59648,6,9941.3,7344.0,6880,15744,4339.6,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,20.1,20000,5,4000.0,2944.0,2784,8512,2523.8,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,19.9,19776,1,19776.0,19776.0,19776,19776,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_16x16.in,2048,32768,3,wall,100.0,507380699,1,,,,,,total
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,51.5,544902,1,544902.0,544902.0,544902,544902,0.0,:fixpoint
