Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,436215050,1,,,,,,total
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,100.0,260938,1,260938.0,260938.0,260938,260938,0.0,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_sum,100.0,260938,1,260938.0,260938.0,260938,260938,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,100.0,103871,1,103871.0,103871.0,103871,103871,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_16x16.in,2048,32768,2,wall,100.0,516631379,1,,,,,,total
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,100.0,254890,1,254890.0,254890.0,254890,254890,0.0,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_sum,100.0,254890,1,254890.0,254890.0,254890,254890,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,100.0,132542,1,132542.0,132542.0,132542,132542,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_16x16.in,2048,32768,3,wall,100.0,517113451,1,,,,,,total
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,100.0,367527,1,367527.0,367527.0,367527,367527,0.0,:fixpoint
sudoku_16x16.in,2048,32768,3,nvtx_sum,100.0,367527,1,367527.0,367527.0,367527,367527,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,3,cuda_gpu_kern_sum,100.0,132479,1,132479.0,132479.0,132479,132479,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,1,wall,100.0,469777015,1,,,,,,total
sudoku_25x25.in,5000,125000,1,nvtx_pushpop_sum,100.0,383695,1,383695.0,383695.0,383695,383695,0.0,:fixpoint
sudoku_25x25.in,5000,125000,1,nvtx_sum,100.0,383695,1,383695.0,383695.0,383695,383695,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,1,cuda_gpu_kern_sum,100.0,222654,1,222654.0,222654.0,222654,222654,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,2,wall,100.0,530799103,1,,,,,,total
sudoku_25x25.in,5000,125000,2,nvtx_pushpop_sum,100.0,386119,1,386119.0,386119.0,386119,386119,0.0,:fixpoint
sudoku_25x25.in,5000,125000,2,nvtx_sum,100.0,386119,1,386119.0,386119.0,386119,386119,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,2,cuda_gpu_kern_sum,100.0,227517,1,227517.0,227517.0,227517,227517,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,3,wall,100.0,552259027,1,,,,,,total
sudoku_25x25.in,5000,125000,3,nvtx_pushpop_sum,100.0,385576,1,385576.0,385576.0,385576,385576,0.0,:fixpoint
sudoku_25x25.in,5000,125000,3,nvtx_sum,100.0,385576,1,385576.0,385576.0,385576,385576,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,100.0,228510,1,228510.0,228510.0,228510,228510,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,1,wall,100.0,433762285,1,,,,,,total
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,100.0,246009,1,246009.0,246009.0,246009,246009,0.0,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_sum,100.0,246009,1,246009.0,246009.0,246009,246009,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,100.0,84639,1,84639.0,84639.0,84639,84639,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,2,wall,100.0,518665659,1,,,,,,total
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,100.0,240190,1,240190.0,240190.0,240190,240190,0.0,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_sum,100.0,240190,1,240190.0,240190.0,240190,240190,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,100.0,81759,1,81759.0,81759.0,81759,81759,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,3,wall,100.0,440321284,1,,,,,,total
sudoku_9x9.in,648,5832,3,nvtx_pushpop_sum,100.0,245620,1,245620.0,245620.0,245620,245620,0.0,:fixpoint
sudoku_9x9.in,648,5832,3,nvtx_sum,100.0,245620,1,245620.0,245620.0,245620,245620,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,100.0,87455,1,87455.0,87455.0,87455,87455,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r000500.in,500,4000,1,wall,100.0,430730304,1,,,,,,total
synth_L008_r000500.in,500,4000,1,nvtx_pushpop_sum,100.0,207221,1,207221.0,207221.0,207221,207221,0.0,:fixpoint
synth_L008_r000500.in,500,4000,1,nvtx_sum,100.0,207221,1,207221.0,207221.0,207221,207221,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,100.0,50975,1,50975.0,50975.0,50975,50975,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r000500.in,500,4000,2,wall,100.0,506229853,1,,,,,,total
synth_L008_r000500.in,500,4000,2,nvtx_pushpop_sum,100.0,208058,1,208058.0,208058.0,208058,208058,0.0,:fixpoint
