Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,435301269,1,,,,,,total
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,100.0,155305,1,155305.0,155305.0,155305,155305,0.0,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_sum,100.0,155305,1,155305.0,155305.0,155305,155305,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,100.0,31264,1,31264.0,31264.0,31264,31264,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_16x16.in,2048,32768,2,wall,100.0,519910177,1,,,,,,total
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,100.0,194478,1,194478.0,194478.0,194478,194478,0.0,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_sum,100.0,194478,1,194478.0,194478.0,194478,194478,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,100.0,33568,1,33568.0,33568.0,33568,33568,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_16x16.in,2048,32768,3,wall,100.0,521593731,1,,,,,,total
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,100.0,197655,1,197655.0,197655.0,197655,197655,0.0,:fixpoint
sudoku_16x16.in,2048,32768,3,nvtx_sum,100.0,197655,1,197655.0,197655.0,197655,197655,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,3,cuda_gpu_kern_sum,100.0,32960,1,32960.0,32960.0,32960,32960,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,1,wall,100.0,464426738,1,,,,,,total
sudoku_25x25.in,5000,125000,1,nvtx_pushpop_sum,100.0,314620,1,314620.0,314620.0,314620,314620,0.0,:fixpoint
sudoku_25x25.in,5000,125000,1,nvtx_sum,100.0,314620,1,314620.0,314620.0,314620,314620,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,1,cuda_gpu_kern_sum,100.0,49695,1,49695.0,49695.0,49695,49695,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,2,wall,100.0,538848525,1,,,,,,total
sudoku_25x25.in,5000,125000,2,nvtx_pushpop_sum,100.0,207760,1,207760.0,207760.0,207760,207760,0.0,:fixpoint
sudoku_25x25.in,5000,125000,2,nvtx_sum,100.0,207760,1,207760.0,207760.0,207760,207760,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,2,cuda_gpu_kern_sum,100.0,49792,1,49792.0,49792.0,49792,49792,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,3,wall,100.0,544683358,1,,,,,,total
sudoku_25x25.in,5000,125000,3,nvtx_pushpop_sum,100.0,291726,1,291726.0,291726.0,291726,291726,0.0,:fixpoint
sudoku_25x25.in,5000,125000,3,nvtx_sum,100.0,291726,1,291726.0,291726.0,291726,291726,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,100.0,49759,1,49759.0,49759.0,49759,49759,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,1,wall,100.0,410280454,1,,,,,,total
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,100.0,222488,1,222488.0,222488.0,222488,222488,0.0,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_sum,100.0,222488,1,222488.0,222488.0,222488,222488,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,100.0,40927,1,40927.0,40927.0,40927,40927,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,2,wall,100.0,499800933,1,,,,,,total
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,100.0,206556,1,206556.0,206556.0,206556,206556,0.0,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_sum,100.0,206556,1,206556.0,206556.0,206556,206556,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,100.0,43072,1,43072.0,43072.0,43072,43072,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,3,wall,100.0,510423631,1,,,,,,total
sudoku_9x9.in,648,5832,3,nvtx_pushpop_sum,100.0,204480,1,204480.0,204480.0,204480,204480,0.0,:fixpoint
sudoku_9x9.in,648,5832,3,nvtx_sum,100.0,204480,1,204480.0,204480.0,204480,204480,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,100.0,40832,1,40832.0,40832.0,40832,40832,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r000500.in,500,4000,1,wall,100.0,440967926,1,,,,,,total
synth_L008_r000500.in,500,4000,1,nvtx_pushpop_sum,100.0,177359,1,177359.0,177359.0,177359,177359,0.0,:fixpoint
synth_L008_r000500.in,500,4000,1,nvtx_sum,100.0,177359,1,177359.0,177359.0,177359,177359,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,100.0,21408,1,21408.0,21408.0,21408,21408,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r000500.in,500,4000,2,wall,100.0,428678555,1,,,,,,total
synth_L008_r000500.in,500,4000,2,nvtx_pushpop_sum,100.0,178676,1,178676.0,178676.0,178676,178676,0.0,:fixpoint
synth_L008_r000500.in,500,4000,2,nvtx_sum,100.0,178676,1,178676.0,178676.0,178676,178676,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,2,cuda_gpu_kern_sum,100.0,20927,1,20927.0,20927.0,20927,20927,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r000500.in,500,4000,3,wall,100.0,514293979,1,,,,,,total
synth_L008_r000500.in,500,4000,3,nvtx_pushpop_sum,100.0,176326,1,176326.0,176326.0,176326,176326,0.0,:fixpoint
synth_L008_r000500.in,500,4000,3,nvtx_sum,100.0,176326,1,176326.0,176326.0,176326,176326,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,3,cuda_gpu_kern_sum,100.0,20959,1,20959.0,20959.0,20959,20959,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r001000.in,1000,8000,1,wall,100.0,425015407,1,,,,,,total
synth_L008_r001000.in,1000,8000,1,nvtx_pushpop_sum,100.0,178258,1,178258.0,178258.0,178258,178258,0.0,:fixpoint
synth_L008_r001000.in,1000,8000,1,nvtx_sum,100.0,178258,1,178258.0,178258.0,178258,178258,0.0,PushPop,:fixpoint
synth_L008_r001000.in,1000,8000,1,cuda_gpu_kern_sum,100.0,21440,1,21440.0,21440.0,21440,21440,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r001000.in,1000,8000,2,wall,100.0,498953767,1,,,,,,total
