Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,441616155,1,,,,,,total
sudoku_16x16.in,2048,32768,1,nvtx_pushpop_sum,100.0,492308,1,492308.0,492308.0,492308,492308,0.0,:fixpoint
sudoku_16x16.in,2048,32768,1,nvtx_sum,100.0,492308,1,492308.0,492308.0,492308,492308,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,1,cuda_gpu_kern_sum,100.0,27200,6,4533.3,4384.0,4256,4992,301.3,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_16x16.in,2048,32768,2,wall,100.0,507809261,1,,,,,,total
sudoku_16x16.in,2048,32768,2,nvtx_pushpop_sum,100.0,485649,1,485649.0,485649.0,485649,485649,0.0,:fixpoint
sudoku_16x16.in,2048,32768,2,nvtx_sum,100.0,485649,1,485649.0,485649.0,485649,485649,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,2,cuda_gpu_kern_sum,100.0,28543,6,4757.2,4560.0,4543,5376,344.6,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_16x16.in,2048,32768,3,wall,100.0,511131383,1,,,,,,total
sudoku_16x16.in,2048,32768,3,nvtx_pushpop_sum,100.0,493338,1,493338.0,493338.0,493338,493338,0.0,:fixpoint
sudoku_16x16.in,2048,32768,3,nvtx_sum,100.0,493338,1,493338.0,493338.0,493338,493338,0.0,PushPop,:fixpoint
sudoku_16x16.in,2048,32768,3,cuda_gpu_kern_sum,100.0,26496,6,4416.0,4272.0,4224,4896,268.5,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,1,wall,100.0,459074497,1,,,,,,total
sudoku_25x25.in,5000,125000,1,nvtx_pushpop_sum,100.0,466722,1,466722.0,466722.0,466722,466722,0.0,:fixpoint
sudoku_25x25.in,5000,125000,1,nvtx_sum,100.0,466722,1,466722.0,466722.0,466722,466722,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,1,cuda_gpu_kern_sum,100.0,37856,4,9464.0,9216.0,9024,10400,639.1,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,2,wall,100.0,541711623,1,,,,,,total
sudoku_25x25.in,5000,125000,2,nvtx_pushpop_sum,100.0,470711,1,470711.0,470711.0,470711,470711,0.0,:fixpoint
sudoku_25x25.in,5000,125000,2,nvtx_sum,100.0,470711,1,470711.0,470711.0,470711,470711,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,2,cuda_gpu_kern_sum,100.0,39328,4,9832.0,9648.0,9248,10784,672.4,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_25x25.in,5000,125000,3,wall,100.0,549808816,1,,,,,,total
sudoku_25x25.in,5000,125000,3,nvtx_pushpop_sum,100.0,448094,1,448094.0,448094.0,448094,448094,0.0,:fixpoint
sudoku_25x25.in,5000,125000,3,nvtx_sum,100.0,448094,1,448094.0,448094.0,448094,448094,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,100.0,39487,4,9871.8,9568.0,9312,11039,787.9,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,1,wall,100.0,420546044,1,,,,,,total
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,100.0,582218,1,582218.0,582218.0,582218,582218,0.0,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_sum,100.0,582218,1,582218.0,582218.0,582218,582218,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,100.0,33407,10,3340.7,3296.0,3199,3840,188.6,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,2,wall,100.0,505671030,1,,,,,,total
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,100.0,591633,1,591633.0,591633.0,591633,591633,0.0,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_sum,100.0,591633,1,591633.0,591633.0,591633,591633,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,100.0,33920,10,3392.0,3328.0,3296,3936,199.6,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9.in,648,5832,3,wall,100.0,505849368,1,,,,,,total
sudoku_9x9.in,648,5832,3,nvtx_pushpop_sum,100.0,598689,1,598689.0,598689.0,598689,598689,0.0,:fixpoint
sudoku_9x9.in,648,5832,3,nvtx_sum,100.0,598689,1,598689.0,598689.0,598689,598689,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,100.0,33951,10,3395.1,3296.0,3263,4000,224.5,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
