Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_16x16.in,2048,32768,1,wall,100.0,16438028,1,,,,,,total
sudoku_16x16.in,2048,32768,2,wall,100.0,16748691,1,,,,,,total
sudoku_16x16.in,2048,32768,3,wall,100.0,16845170,1,,,,,,total
sudoku_25x25.in,5000,125000,1,wall,100.0,46658280,1,,,,,,total
sudoku_25x25.in,5000,125000,2,wall,100.0,48105846,1,,,,,,total
sudoku_25x25.in,5000,125000,3,wall,100.0,47672409,1,,,,,,total
sudoku_9x9.in,648,5832,1,wall,100.0,7574534,1,,,,,,total
sudoku_9x9.in,648,5832,2,wall,100.0,6176883,1,,,,,,total
sudoku_9x9.in,648,5832,3,wall,100.0,7108579,1,,,,,,total
synth_L008_r000500.in,500,4000,1,wall,100.0,5314881,1,,,,,,total
synth_L008_r000500.in,500,4000,2,wall,100.0,6201633,1,,,,,,total
synth_L008_r000500.in,500,4000,3,wall,100.0,5036318,1,,,,,,total
synth_L008_r001000.in,1000,8000,1,wall,100.0,7638030,1,,,,,,total
synth_L008_r001000.in,1000,8000,2,wall,100.0,7188550,1,,,,,,total
synth_L008_r001000.in,1000,8000,3,wall,100.0,6816069,1,,,,,,total
synth_L008_r002000.in,2000,16000,1,wall,100.0,9943994,1,,,,,,total
synth_L008_r002000.in,2000,16000,2,wall,100.0,10583673,1,,,,,,total
synth_L008_r002000.in,2000,16000,3,wall,100.0,10652004,1,,,,,,total
synth_L008_r004000.in,4000,32000,1,wall,100.0,16615128,1,,,,,,total
synth_L008_r004000.in,4000,32000,2,wall,100.0,18920858,1,,,,,,total
synth_L008_r004000.in,4000,32000,3,wall,100.0,16685030,1,,,,,,total
synth_L008_r008000.in,8000,64000,1,wall,100.0,29562116,1,,,,,,total
synth_L008_r008000.in,8000,64000,2,wall,100.0,30391941,1,,,,,,total
synth_L008_r008000.in,8000,64000,3,wall,100.0,28872719,1,,,,,,total
synth_L200_r000500.in,500,100000,1,wall,100.0,29801744,1,,,,,,total
synth_L200_r000500.in,500,100000,2,wall,100.0,33252140,1,,,,,,total
synth_L200_r000500.in,500,100000,3,wall,100.0,33451497,1,,,,,,total
synth_L200_r001000.in,1000,200000,1,wall,100.0,58447757,1,,,,,,total
synth_L200_r001000.in,1000,200000,2,wall,100.0,58289212,1,,,,,,total
synth_L200_r001000.in,1000,200000,3,wall,100.0,58522047,1,,,,,,total
synth_L200_r002000.in,2000,400000,1,wall,100.0,109178649,1,,,,,,total
synth_L200_r002000.in,2000,400000,2,wall,100.0,113482790,1,,,,,,total
synth_L200_r002000.in,2000,400000,3,wall,100.0,111700787,1,,,,,,total
synth_L200_r004000.in,4000,800000,1,wall,100.0,221343848,1,,,,,,total
synth_L200_r004000.in,4000,800000,2,wall,100.0,221064595,1,,,,,,total
synth_L200_r004000.in,4000,800000,3,wall,100.0,221017413,1,,,,,,total
synth_L200_r008000.in,8000,1600000,1,wall,100.0,433933293,1,,,,,,total
synth_L200_r008000.in,8000,1600000,2,wall,100.0,438795836,1,,,,,,total
synth_L200_r008000.in,8000,1600000,3,wall,100.0,444410395,1,,,,,,total
