Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_0.in,96.6,78112,1,78112.0,78112.0,78112,78112,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_0.in,3.4,2784,1,2784.0,2784.0,2784,2784,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_0.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_0.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_0.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_0.in,99.5,163849656,21,7802364.6,2778.0,2148,163788805,35740983.5,cudaMalloc
sudoku_9x9_0.in,0.1,206834,1,206834.0,206834.0,206834,206834,0.0,cudaLaunchKernel
sudoku_9x9_0.in,0.1,161276,1,161276.0,161276.0,161276,161276,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_0.in,0.1,151118,14,10794.1,9577.0,3710,29465,8166.2,cudaMemcpy
sudoku_9x9_0.in,0.1,150683,21,7175.4,2240.0,1666,100758,21473.0,cudaFree
sudoku_9x9_0.in,0.1,89663,2,44831.5,44831.5,10333,79330,48788.2,cudaDeviceSynchronize
sudoku_9x9_0.in,0.0,69840,1,69840.0,69840.0,69840,69840,0.0,cuLibraryLoadData
sudoku_9x9_0.in,0.0,15235,4,3808.8,2535.0,2360,7805,2665.4,cudaMemset
sudoku_9x9_0.in,0.0,3725,1,3725.0,3725.0,3725,3725,0.0,cuModuleGetLoadingMode
sudoku_9x9_0.in,0.0,791,2,395.5,395.5,367,424,40.3,cuLibraryGetKernel
sudoku_9x9_0.in,0.0,666,1,666.0,666.0,666,666,0.0,cuKernelGetName
sudoku_9x9_1.in,95.2,56416,1,56416.0,56416.0,56416,56416,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_1.in,4.8,2816,1,2816.0,2816.0,2816,2816,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_1.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_1.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_1.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_1.in,99.4,160401986,21,7638189.8,2769.0,2055,160339498,34988265.2,cudaMalloc
sudoku_9x9_1.in,0.1,225096,1,225096.0,225096.0,225096,225096,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_1.in,0.1,210236,1,210236.0,210236.0,210236,210236,0.0,cudaLaunchKernel
sudoku_9x9_1.in,0.1,165871,21,7898.6,2255.0,1730,113773,24294.7,cudaFree
sudoku_9x9_1.in,0.1,158328,14,11309.1,9763.0,3786,38572,9848.6,cudaMemcpy
sudoku_9x9_1.in,0.0,67647,1,67647.0,67647.0,67647,67647,0.0,cuLibraryLoadData
sudoku_9x9_1.in,0.0,63865,2,31932.5,31932.5,10547,53318,30243.7,cudaDeviceSynchronize
sudoku_9x9_1.in,0.0,14712,4,3678.0,2487.0,2385,7353,2450.7,cudaMemset
sudoku_9x9_1.in,0.0,4304,1,4304.0,4304.0,4304,4304,0.0,cuModuleGetLoadingMode
sudoku_9x9_1.in,0.0,839,2,419.5,419.5,387,452,46.0,cuLibraryGetKernel
sudoku_9x9_1.in,0.0,599,1,599.0,599.0,599,599,0.0,cuKernelGetName
sudoku_9x9_2.in,94.6,48736,1,48736.0,48736.0,48736,48736,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_2.in,5.4,2784,1,2784.0,2784.0,2784,2784,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_2.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_2.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_2.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_2.in,99.5,161807028,21,7705096.6,2702.0,2147,161743421,35294614.1,cudaMalloc
sudoku_9x9_2.in,0.1,208133,1,208133.0,208133.0,208133,208133,0.0,cudaLaunchKernel
sudoku_9x9_2.in,0.1,160821,1,160821.0,160821.0,160821,160821,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_2.in,0.1,152686,14,10906.1,9710.5,3724,31728,8695.8,cudaMemcpy
sudoku_9x9_2.in,0.1,146883,21,6994.4,2184.0,1716,97596,20790.2,cudaFree
sudoku_9x9_2.in,0.0,60676,2,30338.0,30338.0,10565,50111,27963.2,cudaDeviceSynchronize
sudoku_9x9_2.in,0.0,60648,1,60648.0,60648.0,60648,60648,0.0,cuLibraryLoadData
sudoku_9x9_2.in,0.0,14627,4,3656.8,2505.0,2402,7215,2373.4,cudaMemset
sudoku_9x9_2.in,0.0,4153,1,4153.0,4153.0,4153,4153,0.0,cuModuleGetLoadingMode
sudoku_9x9_2.in,0.0,910,2,455.0,455.0,415,495,56.6,cuLibraryGetKernel
sudoku_9x9_2.in,0.0,458,1,458.0,458.0,458,458,0.0,cuKernelGetName
sudoku_9x9_3.in,95.8,63231,1,63231.0,63231.0,63231,63231,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_3.in,4.2,2784,1,2784.0,2784.0,2784,2784,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_3.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_3.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_3.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_3.in,99.5,167042021,21,7954382.0,2939.0,2146,166977739,36436828.6,cudaMalloc
sudoku_9x9_3.in,0.1,212190,1,212190.0,212190.0,212190,212190,0.0,cudaLaunchKernel
sudoku_9x9_3.in,0.1,162471,1,162471.0,162471.0,162471,162471,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_3.in,0.1,155236,14,11088.3,10041.0,3755,29942,8159.9,cudaMemcpy
sudoku_9x9_3.in,0.1,148939,21,7092.3,2226.0,1727,97599,20772.1,cudaFree
sudoku_9x9_3.in,0.0,75518,2,37759.0,37759.0,10956,64562,37905.2,cudaDeviceSynchronize
sudoku_9x9_3.in,0.0,62214,1,62214.0,62214.0,62214,62214,0.0,cuLibraryLoadData
sudoku_9x9_3.in,0.0,15969,4,3992.3,2568.5,2473,8359,2911.5,cudaMemset
sudoku_9x9_3.in,0.0,4029,1,4029.0,4029.0,4029,4029,0.0,cuModuleGetLoadingMode
sudoku_9x9_3.in,0.0,934,2,467.0,467.0,453,481,19.8,cuLibraryGetKernel
sudoku_9x9_3.in,0.0,602,1,602.0,602.0,602,602,0.0,cuKernelGetName
sudoku_9x9_4.in,95.3,56096,1,56096.0,56096.0,56096,56096,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_4.in,4.7,2784,1,2784.0,2784.0,2784,2784,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_4.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_4.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_4.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_4.in,99.5,159321441,21,7586735.3,2795.0,2092,159260652,34752860.2,cudaMalloc
sudoku_9x9_4.in,0.1,212743,1,212743.0,212743.0,212743,212743,0.0,cudaLaunchKernel
sudoku_9x9_4.in,0.1,167870,1,167870.0,167870.0,167870,167870,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_4.in,0.1,154273,21,7346.3,2231.0,1713,104929,22385.5,cudaFree
sudoku_9x9_4.in,0.1,151217,14,10801.2,9812.5,3700,29230,7958.5,cudaMemcpy
sudoku_9x9_4.in,0.0,67702,2,33851.0,33851.0,10138,57564,33535.2,cudaDeviceSynchronize
sudoku_9x9_4.in,0.0,65236,1,65236.0,65236.0,65236,65236,0.0,cuLibraryLoadData
sudoku_9x9_4.in,0.0,15157,4,3789.3,2426.5,2339,7965,2784.2,cudaMemset
sudoku_9x9_4.in,0.0,4562,1,4562.0,4562.0,4562,4562,0.0,cuModuleGetLoadingMode
