Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_0.in,100.0,79979,1,79979.0,79979.0,79979,79979,0.0,PushPop,:build_reverse_tables
sudoku_9x9_0.in,52.4,35743,10,3574.3,3584.0,3008,4095,283.2,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9_0.in,43.5,29632,9,3292.4,2848.0,2688,6528,1222.3,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_0.in,4.1,2816,1,2816.0,2816.0,2816,2816,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_0.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_0.in,0.003,21,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_0.in,0.000,11,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_0.in,99.4,166452639,19,8760665.2,2733.0,2127,166398622,38173773.5,cudaMalloc
sudoku_9x9_0.in,0.2,332726,20,16636.3,4008.5,3362,212772,46501.0,cudaLaunchKernel
sudoku_9x9_0.in,0.2,326327,33,9888.7,8831.0,3784,31007,5564.5,cudaMemcpy
sudoku_9x9_0.in,0.1,153068,19,8056.2,2277.0,1888,106534,23876.3,cudaFree
sudoku_9x9_0.in,0.1,114923,20,5746.1,5775.0,1492,11299,1827.8,cudaDeviceSynchronize
sudoku_9x9_0.in,0.0,76784,1,76784.0,76784.0,76784,76784,0.0,cuLibraryLoadData
sudoku_9x9_0.in,0.0,36026,11,3275.1,2646.0,2488,7554,1525.5,cudaMemset
sudoku_9x9_0.in,0.0,4228,1,4228.0,4228.0,4228,4228,0.0,cuModuleGetLoadingMode
sudoku_9x9_0.in,0.0,2877,20,143.8,108.0,95,523,107.6,cuKernelGetName
sudoku_9x9_0.in,0.0,989,3,329.7,340.0,257,392,68.1,cuLibraryGetKernel
sudoku_9x9_1.in,100.0,77489,1,77489.0,77489.0,77489,77489,0.0,PushPop,:build_reverse_tables
sudoku_9x9_1.in,50.9,25184,7,3597.7,3520.0,3040,4192,354.8,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9_1.in,43.3,21440,6,3573.3,3056.0,2816,6528,1454.5,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_1.in,5.8,2848,1,2848.0,2848.0,2848,2848,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_1.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_1.in,0.003,15,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_1.in,0.000,8,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_1.in,99.4,159451455,19,8392181.8,2841.0,2070,159397061,36567500.5,cudaMalloc
sudoku_9x9_1.in,0.2,296726,14,21194.7,4102.0,3299,216244,56380.3,cudaLaunchKernel
sudoku_9x9_1.in,0.2,264175,27,9784.3,8797.0,3702,30284,5800.2,cudaMemcpy
