Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_0.in,100.0,91168,1,91168.0,91168.0,91168,91168,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_0.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_0.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_0.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_0.in,99.7,163319019,8,20414877.4,3332.0,2653,163292098,57731115.2,cudaMalloc
sudoku_9x9_0.in,0.1,155027,1,155027.0,155027.0,155027,155027,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_0.in,0.1,118303,8,14787.9,2560.0,2177,96854,33191.3,cudaFree
sudoku_9x9_0.in,0.1,102466,8,12808.3,11833.0,4252,26800,9087.1,cudaMemcpy
sudoku_9x9_0.in,0.1,89981,1,89981.0,89981.0,89981,89981,0.0,cudaDeviceSynchronize
sudoku_9x9_0.in,0.0,10400,2,5200.0,5200.0,2453,7947,3884.8,cudaMemset
sudoku_9x9_0.in,0.0,3446,1,3446.0,3446.0,3446,3446,0.0,cuModuleGetLoadingMode
sudoku_9x9_1.in,100.0,65119,1,65119.0,65119.0,65119,65119,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_1.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_1.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_1.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_1.in,99.7,162811872,8,20351484.0,3578.0,2557,162785141,57551888.4,cudaMalloc
sudoku_9x9_1.in,0.1,156473,1,156473.0,156473.0,156473,156473,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_1.in,0.1,120913,8,15114.1,2521.0,1991,99790,34244.3,cudaFree
