Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_0.in,100.0,73696,7,10528.0,10496.0,10400,10688,107.7,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_0.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_0.in,0.003,15,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_0.in,0.000,8,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_0.in,99.6,164107286,8,20513410.8,3338.5,2573,164080978,58010057.4,cudaMalloc
sudoku_9x9_0.in,0.1,212248,21,10107.0,8629.0,4313,27583,5783.2,cudaMemcpy
sudoku_9x9_0.in,0.1,131405,8,16425.6,2357.5,1990,111305,38359.8,cudaFree
sudoku_9x9_0.in,0.1,101869,7,14552.7,4272.0,3781,76033,27117.2,cudaLaunchKernel
sudoku_9x9_0.in,0.1,85699,7,12242.7,12627.0,10020,12746,988.6,cudaDeviceSynchronize
sudoku_9x9_0.in,0.0,44347,1,44347.0,44347.0,44347,44347,0.0,cuLibraryLoadData
sudoku_9x9_0.in,0.0,28393,8,3549.1,2744.0,2440,8434,2002.1,cudaMemset
sudoku_9x9_0.in,0.0,3639,1,3639.0,3639.0,3639,3639,0.0,cuModuleGetLoadingMode
sudoku_9x9_0.in,0.0,1361,7,194.4,118.0,115,585,174.2,cuKernelGetName
sudoku_9x9_0.in,0.0,347,1,347.0,347.0,347,347,0.0,cuLibraryGetKernel
sudoku_9x9_1.in,100.0,52736,5,10547.2,10592.0,10336,10688,145.9,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_1.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_1.in,0.003,11,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_1.in,0.000,6,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_1.in,99.7,167335058,8,20916882.3,3475.0,2677,167308596,59151184.9,cudaMalloc
sudoku_9x9_1.in,0.1,186446,17,10967.4,8655.0,4333,27238,6930.1,cudaMemcpy
sudoku_9x9_1.in,0.1,120275,8,15034.4,2451.5,1996,100350,34492.3,cudaFree
sudoku_9x9_1.in,0.1,93361,5,18672.2,4576.0,3588,75440,31745.3,cudaLaunchKernel
sudoku_9x9_1.in,0.0,60536,5,12107.2,12661.0,10156,12695,1099.4,cudaDeviceSynchronize
sudoku_9x9_1.in,0.0,44616,1,44616.0,44616.0,44616,44616,0.0,cuLibraryLoadData
sudoku_9x9_1.in,0.0,21860,6,3643.3,2876.5,2478,7440,1904.3,cudaMemset
sudoku_9x9_1.in,0.0,3696,1,3696.0,3696.0,3696,3696,0.0,cuModuleGetLoadingMode
sudoku_9x9_1.in,0.0,964,5,192.8,105.0,102,468,157.8,cuKernelGetName
sudoku_9x9_1.in,0.0,284,1,284.0,284.0,284,284,0.0,cuLibraryGetKernel
sudoku_9x9_2.in,100.0,42688,4,10672.0,10672.0,10464,10880,170.3,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_2.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_2.in,0.003,9,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_2.in,0.000,5,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_2.in,99.7,165089347,8,20636168.4,3513.5,2619,165062218,58356936.6,cudaMalloc
sudoku_9x9_2.in,0.1,164236,15,10949.1,8759.0,4220,27567,6986.5,cudaMemcpy
sudoku_9x9_2.in,0.1,121463,8,15182.9,2426.5,1960,101592,34936.1,cudaFree
sudoku_9x9_2.in,0.1,95086,4,23771.5,4979.0,3960,81168,38271.2,cudaLaunchKernel
sudoku_9x9_2.in,0.0,50145,1,50145.0,50145.0,50145,50145,0.0,cuLibraryLoadData
sudoku_9x9_2.in,0.0,47744,4,11936.0,12531.0,9850,12832,1398.9,cudaDeviceSynchronize
sudoku_9x9_2.in,0.0,19432,5,3886.4,3321.0,2464,7065,1852.8,cudaMemset
sudoku_9x9_2.in,0.0,3845,1,3845.0,3845.0,3845,3845,0.0,cuModuleGetLoadingMode
sudoku_9x9_2.in,0.0,990,4,247.5,187.5,106,509,189.4,cuKernelGetName
sudoku_9x9_2.in,0.0,319,1,319.0,319.0,319,319,0.0,cuLibraryGetKernel
sudoku_9x9_3.in,100.0,63136,6,10522.7,10528.0,10336,10784,156.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_3.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_3.in,0.003,13,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_3.in,0.000,7,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_3.in,99.7,169132751,8,21141593.9,3303.5,2639,169106446,59786828.8,cudaMalloc
sudoku_9x9_3.in,0.1,194376,19,10230.3,8589.0,4256,26517,6016.7,cudaMemcpy
sudoku_9x9_3.in,0.1,121317,8,15164.6,2495.5,2007,101334,34840.5,cudaFree
sudoku_9x9_3.in,0.1,106010,6,17668.3,4273.0,4031,83603,32307.5,cudaLaunchKernel
sudoku_9x9_3.in,0.0,72822,6,12137.0,12510.5,10035,12685,1033.8,cudaDeviceSynchronize
sudoku_9x9_3.in,0.0,42718,1,42718.0,42718.0,42718,42718,0.0,cuLibraryLoadData
sudoku_9x9_3.in,0.0,23955,7,3422.1,2575.0,2464,7224,1717.9,cudaMemset
sudoku_9x9_3.in,0.0,3556,1,3556.0,3556.0,3556,3556,0.0,cuModuleGetLoadingMode
sudoku_9x9_3.in,0.0,1068,6,178.0,103.0,100,476,149.6,cuKernelGetName
sudoku_9x9_3.in,0.0,331,1,331.0,331.0,331,331,0.0,cuLibraryGetKernel
sudoku_9x9_4.in,100.0,52640,5,10528.0,10560.0,10400,10656,108.5,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_4.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_4.in,0.003,11,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_4.in,0.000,6,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
