Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_0.in,100.0,37120,10,3712.0,3616.0,3520,4256,222.2,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_0.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_0.in,0.003,21,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_0.in,0.000,11,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_0.in,99.5,161746672,8,20218334.0,3448.5,2722,161719536,57175119.7,cudaMalloc
sudoku_9x9_0.in,0.2,270243,27,10009.0,8622.0,4434,28378,5457.6,cudaMemcpy
sudoku_9x9_0.in,0.1,242623,10,24262.3,4245.0,3759,203099,62840.9,cudaLaunchKernel
sudoku_9x9_0.in,0.1,118991,8,14873.9,2544.0,1905,98433,33789.8,cudaFree
sudoku_9x9_0.in,0.0,63226,10,6322.6,5750.0,5558,11417,1796.8,cudaDeviceSynchronize
sudoku_9x9_0.in,0.0,52203,1,52203.0,52203.0,52203,52203,0.0,cuLibraryLoadData
sudoku_9x9_0.in,0.0,37810,11,3437.3,2688.0,2546,7782,1613.1,cudaMemset
sudoku_9x9_0.in,0.0,4030,1,4030.0,4030.0,4030,4030,0.0,cuModuleGetLoadingMode
sudoku_9x9_0.in,0.0,1989,10,198.9,105.0,102,775,219.0,cuKernelGetName
sudoku_9x9_0.in,0.0,327,1,327.0,327.0,327,327,0.0,cuLibraryGetKernel
sudoku_9x9_1.in,100.0,26400,7,3771.4,3712.0,3520,4288,256.3,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_1.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_1.in,0.003,15,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_1.in,0.000,8,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_1.in,99.6,164071249,8,20508906.1,3156.5,1973,164046006,57997746.7,cudaMalloc
sudoku_9x9_1.in,0.1,218149,21,10388.0,8858.0,4420,27599,5948.7,cudaMemcpy
sudoku_9x9_1.in,0.1,208912,7,29844.6,4256.0,3825,182427,67286.9,cudaLaunchKernel
sudoku_9x9_1.in,0.1,123430,8,15428.8,2496.5,1925,102902,35373.4,cudaFree
sudoku_9x9_1.in,0.0,48176,1,48176.0,48176.0,48176,48176,0.0,cuLibraryLoadData
sudoku_9x9_1.in,0.0,44809,7,6401.3,5675.0,5627,10119,1649.8,cudaDeviceSynchronize
sudoku_9x9_1.in,0.0,29029,8,3628.6,2708.5,2555,7929,1831.8,cudaMemset
sudoku_9x9_1.in,0.0,3847,1,3847.0,3847.0,3847,3847,0.0,cuModuleGetLoadingMode
sudoku_9x9_1.in,0.0,1373,7,196.1,117.0,103,448,148.2,cuKernelGetName
sudoku_9x9_1.in,0.0,500,1,500.0,500.0,500,500,0.0,cuLibraryGetKernel
sudoku_9x9_2.in,100.0,22623,6,3770.5,3728.0,3487,4256,287.4,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_2.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_2.in,0.003,13,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_2.in,0.000,7,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_2.in,99.6,162608109,8,20326013.6,3431.5,2598,162583717,57480792.4,cudaMalloc
sudoku_9x9_2.in,0.1,206918,6,34486.3,4354.5,3617,184487,73491.0,cudaLaunchKernel
sudoku_9x9_2.in,0.1,195602,19,10294.8,8672.0,4246,26416,5920.3,cudaMemcpy
sudoku_9x9_2.in,0.1,116215,8,14526.9,2488.5,1976,95533,32759.1,cudaFree
sudoku_9x9_2.in,0.0,50881,1,50881.0,50881.0,50881,50881,0.0,cuLibraryLoadData
sudoku_9x9_2.in,0.0,39079,6,6513.2,5809.5,5634,10019,1724.7,cudaDeviceSynchronize
sudoku_9x9_2.in,0.0,24553,7,3507.6,2602.0,2463,7735,1945.9,cudaMemset
sudoku_9x9_2.in,0.0,3259,1,3259.0,3259.0,3259,3259,0.0,cuModuleGetLoadingMode
sudoku_9x9_2.in,0.0,1300,6,216.7,122.0,114,543,173.1,cuKernelGetName
sudoku_9x9_2.in,0.0,383,1,383.0,383.0,383,383,0.0,cuLibraryGetKernel
sudoku_9x9_3.in,100.0,29792,8,3724.0,3648.0,3520,4160,204.5,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_3.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_3.in,0.003,17,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_3.in,0.000,9,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_3.in,99.5,163256758,8,20407094.8,3490.5,2753,163228909,57708727.7,cudaMalloc
sudoku_9x9_3.in,0.2,256107,23,11135.1,8753.0,4391,29769,7019.9,cudaMemcpy
sudoku_9x9_3.in,0.1,222670,8,27833.8,4242.5,3911,191123,65984.7,cudaLaunchKernel
sudoku_9x9_3.in,0.1,121301,8,15162.6,2561.0,1933,99974,34298.7,cudaFree
sudoku_9x9_3.in,0.0,54494,1,54494.0,54494.0,54494,54494,0.0,cuLibraryLoadData
sudoku_9x9_3.in,0.0,51772,8,6471.5,5801.5,5679,10738,1733.9,cudaDeviceSynchronize
sudoku_9x9_3.in,0.0,30797,9,3421.9,2817.0,2527,7977,1758.1,cudaMemset
sudoku_9x9_3.in,0.0,3873,1,3873.0,3873.0,3873,3873,0.0,cuModuleGetLoadingMode
sudoku_9x9_3.in,0.0,1419,8,177.4,112.0,107,460,129.5,cuKernelGetName
sudoku_9x9_3.in,0.0,356,1,356.0,356.0,356,356,0.0,cuLibraryGetKernel
sudoku_9x9_4.in,100.0,26400,7,3771.4,3648.0,3552,4288,274.9,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_4.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_4.in,0.003,15,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_4.in,0.000,8,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_4.in,99.6,158144703,8,19768087.9,3699.5,2551,158119293,55902328.8,cudaMalloc
sudoku_9x9_4.in,0.1,223410,7,31915.7,4380.0,3829,194292,71609.6,cudaLaunchKernel
sudoku_9x9_4.in,0.1,216052,21,10288.2,8698.0,4422,28271,6105.7,cudaMemcpy
sudoku_9x9_4.in,0.1,119370,8,14921.3,2549.0,1942,98561,33824.7,cudaFree
sudoku_9x9_4.in,0.0,47337,1,47337.0,47337.0,47337,47337,0.0,cuLibraryLoadData
sudoku_9x9_4.in,0.0,45202,7,6457.4,5806.0,5498,10726,1888.9,cudaDeviceSynchronize
sudoku_9x9_4.in,0.0,27327,8,3415.9,2671.0,2489,7650,1767.7,cudaMemset
sudoku_9x9_4.in,0.0,3718,1,3718.0,3718.0,3718,3718,0.0,cuModuleGetLoadingMode
sudoku_9x9_4.in,0.0,1407,7,201.0,100.0,97,504,164.1,cuKernelGetName
sudoku_9x9_4.in,0.0,480,1,480.0,480.0,480,480,0.0,cuLibraryGetKernel
