Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_0.in,100.0,68095,1,68095.0,68095.0,68095,68095,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
sudoku_9x9_0.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_0.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_0.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_0.in,99.6,163561235,8,20445154.4,3677.0,2697,163536366,57817580.6,cudaMalloc
sudoku_9x9_0.in,0.2,333709,1,333709.0,333709.0,333709,333709,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_0.in,0.1,120008,8,15001.0,2510.5,2002,98458,33757.0,cudaFree
sudoku_9x9_0.in,0.1,105584,8,13198.0,12308.5,4416,27244,8634.3,cudaMemcpy
sudoku_9x9_0.in,0.0,64454,1,64454.0,64454.0,64454,64454,0.0,cudaDeviceSynchronize
sudoku_9x9_0.in,0.0,53944,1,53944.0,53944.0,53944,53944,0.0,cuLibraryLoadData
sudoku_9x9_0.in,0.0,10912,2,5456.0,5456.0,2513,8399,4162.0,cudaMemset
sudoku_9x9_0.in,0.0,3813,1,3813.0,3813.0,3813,3813,0.0,cuModuleGetLoadingMode
sudoku_9x9_0.in,0.0,350,1,350.0,350.0,350,350,0.0,cuLibraryGetKernel
sudoku_9x9_1.in,100.0,48511,1,48511.0,48511.0,48511,48511,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
sudoku_9x9_1.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_1.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_1.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_1.in,99.6,165389881,8,20673735.1,3479.0,2559,165365056,58464122.4,cudaMalloc
sudoku_9x9_1.in,0.2,333923,1,333923.0,333923.0,333923,333923,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_1.in,0.1,118992,8,14874.0,2513.0,2023,97953,33598.5,cudaFree
sudoku_9x9_1.in,0.1,107716,8,13464.5,11958.5,4126,32207,9868.6,cudaMemcpy
sudoku_9x9_1.in,0.0,47811,1,47811.0,47811.0,47811,47811,0.0,cuLibraryLoadData
sudoku_9x9_1.in,0.0,45827,1,45827.0,45827.0,45827,45827,0.0,cudaDeviceSynchronize
sudoku_9x9_1.in,0.0,14909,2,7454.5,7454.5,6597,8312,1212.7,cudaMemset
sudoku_9x9_1.in,0.0,3938,1,3938.0,3938.0,3938,3938,0.0,cuModuleGetLoadingMode
sudoku_9x9_1.in,0.0,352,1,352.0,352.0,352,352,0.0,cuLibraryGetKernel
sudoku_9x9_2.in,100.0,42559,1,42559.0,42559.0,42559,42559,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
sudoku_9x9_2.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_2.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_2.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_2.in,99.6,165668141,8,20708517.6,3557.5,2689,165640749,58561464.9,cudaMalloc
sudoku_9x9_2.in,0.2,325669,1,325669.0,325669.0,325669,325669,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_2.in,0.1,123539,8,15442.4,2571.5,1819,101715,34905.4,cudaFree
sudoku_9x9_2.in,0.1,102365,8,12795.6,11950.0,4376,27325,8446.0,cudaMemcpy
sudoku_9x9_2.in,0.0,48895,1,48895.0,48895.0,48895,48895,0.0,cuLibraryLoadData
sudoku_9x9_2.in,0.0,40617,1,40617.0,40617.0,40617,40617,0.0,cudaDeviceSynchronize
sudoku_9x9_2.in,0.0,10376,2,5188.0,5188.0,2434,7942,3894.7,cudaMemset
sudoku_9x9_2.in,0.0,4376,1,4376.0,4376.0,4376,4376,0.0,cuModuleGetLoadingMode
sudoku_9x9_2.in,0.0,370,1,370.0,370.0,370,370,0.0,cuLibraryGetKernel
sudoku_9x9_3.in,100.0,55167,1,55167.0,55167.0,55167,55167,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
sudoku_9x9_3.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_3.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_3.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_3.in,99.6,161300852,8,20162606.5,3527.0,2664,161274094,57017651.3,cudaMalloc
sudoku_9x9_3.in,0.2,330605,1,330605.0,330605.0,330605,330605,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_3.in,0.1,120432,8,15054.0,2572.5,1986,98192,33641.3,cudaFree
sudoku_9x9_3.in,0.1,103976,8,12997.0,12129.5,4210,27027,8491.5,cudaMemcpy
sudoku_9x9_3.in,0.0,55162,1,55162.0,55162.0,55162,55162,0.0,cuLibraryLoadData
sudoku_9x9_3.in,0.0,52371,1,52371.0,52371.0,52371,52371,0.0,cudaDeviceSynchronize
